State/Union Territory,Growth % (jan19 vs jan20,Growth % (feb19 vs feb20),Growth % (mar19 vs mar20),Growth % (june19 vs june20),Growth % (july19 vs july20),Growth % (aug19 vs aug20)
Jammu and Kashmir,12,3,-29,1,-18,8
Himachal Pradesh,4,2,-10,-11,-11,-12
Punjab,10,12,1,6,-7,-9
Chandigarh,22,18,-5,0,-12,-13
Uttarakhand,10,4,-18,-27,-23,7
Haryana,14,8,7,-24,-25,-2
Delhi,13,12,-12,-10,-23,-18
Rajasthan,9,10,-10,3,4,1
Uttar Pradesh,4,13,-5,-3,-6,2
Bihar,8,17,-10,16,-9,-1
Sikkim,11,26,19,79,-7,-10
Arunachal Pradesh,36,51,-22,3,-32,-22
Nagaland,84,27,-16,63,11,17
Manipur,48,77,-22,14,-25,-29
Mizoram,-8,12,-33,1,-16,-56
Tripura,8,37,5,11,-1,-26
Meghalaya,24,21,5,-7,15,-7
Assam,4,25,-3,21,-9,-8
West Bengal,7,13,-7,-11,-16,-13
Jharkhand,3,-2,-5,-9,-28,-15
Odisha,7,18,0,-8,-6,-6
Chattissgarh,4,10,-2,22,-8,6
Madhya Pradesh,11,14,-8,24,0,-2
Gujarat,19,11,5,-6,-12,-3
Daman and Diu,16,2,-8,-16,-27,-32
Dadra and Nagar Haveli,-5,5,-3,-28,-3,-9
Maharastra,19,12,-4,-1,-17,-13
Karnataka,4,15,2,1,-15,-11
Goa,11,2,19,-4,-29,-34
Lakshadweep,150,-20,54,49,-22,-72
Kerala,17,24,-10,-2,-13,-22
Tamil Nadu,8,8,-11,-15,-24,-12
Puducherry,18,-9,-19,4,-6,-15
Andaman and Nicobar Island,-13,45,40,160,-22,-59
Telangana,19,6,-9,3,-9,-9
Andhra Pradesh,9,23,-2,6,0,-8
Ladakh,0,0,0,,,
Other territory,-28,3,-21,4,-39,6
Centre Jurisdiction,166,114,10,-2,201,61
Grand Total,12,12,-4,-3,-14,-8
