States,Jan-20,Feb-20,Mar-20,Jun-20,Jul-20,Aug-20
Jammu and Kashmir,371,316,276,325,298,326
Himachal Pradesh,675,621,596,619,605,597
Punjab,1340,1229,1181,1323,1188,1139
Chandigarh,195,172,153,159,137,139
Uttarakhand,1257,1281,1195,895,988,1006
Haryana,5487,5266,4874,3697,3483,4373
Delhi,3967,3835,3273,3249,2629,2880
Rajasthan,3030,2932,2820,2774,2797,2582
Uttar Pradesh,5698,5776,5294,5194,5099,5098
Bihar,1122,1121,1056,1162,1061,967
Sikkim,194,183,189,346,186,147
Arunachal Pradesh,52,48,67,49,33,35
Nagaland,32,25,39,32,25,31
Manipur,35,37,36,29,25,26
Mizoram,24,25,33,24,16,12
Tripura,56,63,67,65,48,43
Meghalaya,128,157,133,116,120,108
Assam,820,924,932,966,723,709
West Bengal,3747,3942,3582,3128,3010,3053
Jharkhand,2027,2071,2049,1643,1340,1498
Odisha,2504,2790,2633,2694,2348,2348
Chattissgarh,2155,2274,2093,2549,1832,1994
Madhya Pradesh,2674,2621,2407,2742,2289,2209
Gujarat,7330,7216,6820,6025,5621,6030
Daman and Diu,117,94,95,73,77,70
Dadra and Nagar Haveli,165,145,169,119,130,145
Maharastra,18085,15735,15002,14987,12508,11602
Karnataka,7605,7414,7144,6710,6014,5502
Goa,437,411,316,324,257,213
Lakshadweep,3,2,1,1,2,0
Kerala,1859,1754,1475,1530,1318,1229
Tamil Nadu,6703,6427,6178,4976,4635,5243
Puducherry,188,159,149,141,136,137
Andaman and Nicobar Island,30,36,39,54,18,13
Telangana,3787,3667,3563,3276,2876,2793
Andhra Pradesh,2356,2563,2548,2367,2138,1955
Ladakh,0,0,0,7,7,5
Other territory,139,145,133,173,97,180
Centre Jurisdiction,119,100,81,59,179,161
Grand Total,86513,83581,78700,74602,66291,66598
