State,Confirmed_Cases,Active_Cases,Recoverd_Cases,Deaths,Tested
Maharashtra,792541,194056,573559,24583,415000075
Tamil Nadu,428041,52578,368141,7322,4810000
Uttar Pradesh,230414,54788,172140,3486,5490000
Andhra Pradesh,434771,100276,330526,3969,3720000
West Bengal,162778,25280,134270,3228,1890000
Telgana,124963,31299,92837,827,1370000
Assam,109041,23273,85459,306,2260000
Karnataka,342423,87235,249467,5702,2900000
Delhi,174748,14626,155678,4444,1580000
Bihar,136337,16070,119572,694,3190000
Rajasthan,81693,13825,66812,1056,2310000
Haryana,64732,11371,52672,689,1150000
Odisha,103536,25705,77826,545,1790000
Kerala,75386,23488,51538,295,1690000
Punjab,53992,15512,37027,1453,1060000
Gujarat,96435,15533,77882,3020,2330000
Madhya Pradesh,63965,13914,48657,1394,1380000
Chattisgarh,31503,14237,16989,277,580000
Jharkhand,41656,14096,27143,417,910000
Uttarakhand,19827,5887,13608,269,390000
Goa,17418,3649,13557,192,200000
Jammu and Kashmir,37698,7980,29015,703,970000
Tripura,11644,4089,7433,103,270000
Himachal Pradesh,6116,1562,4473,37,210000
Manipur,6252,1894,4330,28,160000
Arunachal Pradesh,4112,1220,2885,7,170000
Andaman and Nicobar Islands,3132,439,2647,46,33500
Ladakh,2681,773,1874,34,31000
Dadra and Nagar Haveli and Daman and Diu,2367,264,2081,2,54200
Mizoram,1011,422,589,0,40800
Sikkim,1652,424,1225,3,41300
Meghalaya,2368,1196,1162,10,89000
Nagaland,3950,874,3058,8,60900
Chandigarh,4346,1857,2431,56,30400
Puducherry,14411,4489,9334,228,76100

