State,Unemployment Rate,Employed,Labour Participation Rate
Andaman and Nicobar Islands,,,
Andhra Pradesh,3.68,17028869,41.5
Arunachal Pradesh,,,
Assam,6.49,10887620,45.51
Bihar,11.84,25254973,36.99
Chandigarh,,,
Chhatisgarh,5.08,9000093,43.64
Dadra and Nagar Haveli,,,
Daman and Diu,,,
Delhi,13.61,5687918,42.67
Goa ,3.67,426879,34.81
Gujarat,3.92,23735498,47.36
Haryana ,28.68,7081312,45.06
Himachal Pradesh,19.24,2205562,45.55
Jammu and Kashmir,22.45,3411463,42.88
Jharkhand,14.26,9350763,41.48
Karnataka,0.74,21300805,39.14
Kerala,9.13,9682099,37.99
Ladakh,,,
Lakshadweep,,,
Madhya Pradesh,5.5,23368979,41.06
Maharashtra,5.26,43438141,45.66
Manipur ,,,
Meghalaya ,1.6,1325158,58.88
Mizoram,,,
Nagaland,,,
Odhisha,3.65,14184642,41.79
Puducherry,7.47,496812,44.21
Punjab,8.68,9683288,43.12
Rajasthan,13.08,20247209,41.18
Sikkim ,2.06,218190,40.04
Tamil Nadu,5.8,28397017,46.69
Telangana,2.37,16288655,53.56
Tripura,27.86,1344478,58.52
Uttar Pradesh,12.27,56878991,40.4
Uttarakhand,6.52,2735347,34.01
West Bengal,6.12,36381326,48.13
