State,Unemployemnt Rate,Employed,Labour Participation Rate
,,,
Andaman and Nicobar Islands,,,
Andhra Pradesh,6.96,15251776,37.83
Arunachal Pradesh,,,
Assam,5.53,9781310,39.52
Bihar,13.44,23795534,34.59
Chandigarh,,,
Chhatisgarh,5.63,9050422,42.97
Daman and Diu,,,
Delhi,13.79,4850107,35.41
Goa ,16.21,473016,43.76
Gujarat,1.87,22817232,43.55
Haryana ,33.5,7113788,47.32
Himachal Pradesh,15.79,2029740,39.42
Jammu and Kashmir,11.09,3429950,36.66
Jharkhand,9.76,9331640,38.31
Karnataka,0.5,24094289,43.13
Kerala,10.98,9031944,35.78
Ladakh,,,
Lakshadweep,,,
Madhya Pradesh,4.7,23619011,40.08
Maharashtra,6.23,40963616,42.49
Manipur ,,,
Meghalaya ,3.74,1357643,59.88
Mizoram,,,
Nagaland,,,
Odhisha,1.42,14154039,39.96
Puducherry,5.05,396006,33.34
Punjab,10.99,9386169,41.99
Rajasthan,17.51,20014060,41.71
Sikkim ,12.49,244462,48.49
Tamil Nadu,2.65,27046415,42.22
Telangana,5.79,18185429,60.59
Tripura,27.92,1318621,56.21
Uttar Pradesh,5.79,55831744,35.96
Uttarakhand,14.26,2717528,35.9
West Bengal,14.87,33298644,47.48
